epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3517,1.05135,0.75773,1.25376,0.9206,0.8851,0.92985,0.62574,1.09885,0.70147,1.11349,0.00335571,1.6609e-05,1.6609e-05
2,51.512,1.06754,0.77454,1.26258,0.90765,0.88502,0.92951,0.62188,1.12145,0.71379,1.12676,0.00170521,3.27765e-05,3.27765e-05
3,65.8335,1.05245,0.75686,1.23989,0.89788,0.89732,0.93072,0.62453,1.12903,0.70569,1.13051,5.42111e-05,4.84441e-05,4.84441e-05
4,80.2374,1.05149,0.75543,1.2495,0.89459,0.89976,0.93107,0.62284,1.13537,0.70603,1.13512,4.775e-05,4.775e-05,4.775e-05
5,94.4957,1.04811,0.7496,1.23528,0.9115,0.8851,0.93045,0.62162,1.13026,0.70946,1.13176,4.7e-05,4.7e-05,4.7e-05
6,108.933,1.0348,0.74514,1.2241,0.89707,0.89599,0.92992,0.61954,1.13461,0.70781,1.1344,4.625e-05,4.625e-05,4.625e-05
7,123.21,1.03597,0.74345,1.24961,0.91166,0.88494,0.9299,0.61971,1.12716,0.70932,1.13149,4.55e-05,4.55e-05,4.55e-05
8,137.553,1.06329,0.76214,1.25415,0.89544,0.89236,0.92838,0.61814,1.13553,0.71648,1.13302,4.475e-05,4.475e-05,4.475e-05
9,151.936,1.05417,0.75663,1.24739,0.89837,0.89641,0.92817,0.62113,1.12478,0.70471,1.12892,4.4e-05,4.4e-05,4.4e-05
10,166.382,1.04636,0.74559,1.23712,0.89917,0.8912,0.92684,0.61492,1.13981,0.70924,1.13477,4.325e-05,4.325e-05,4.325e-05
11,180.888,1.05354,0.75964,1.25731,0.90901,0.88833,0.92941,0.62062,1.12305,0.70529,1.12663,4.25e-05,4.25e-05,4.25e-05
12,195.46,1.06821,0.75928,1.25499,0.89778,0.89663,0.93054,0.62091,1.11869,0.70263,1.12451,4.175e-05,4.175e-05,4.175e-05
13,210.149,1.05893,0.75415,1.24985,0.89906,0.892,0.92743,0.61868,1.13239,0.70561,1.13173,4.1e-05,4.1e-05,4.1e-05
14,224.941,1.06212,0.75847,1.26638,0.9027,0.89135,0.93056,0.62324,1.11787,0.70164,1.12519,4.025e-05,4.025e-05,4.025e-05
15,239.623,1.0454,0.75986,1.25115,0.90032,0.89128,0.9297,0.6209,1.12882,0.70498,1.12958,3.95e-05,3.95e-05,3.95e-05
16,254.363,1.03911,0.76091,1.24691,0.91334,0.88622,0.9293,0.61859,1.12991,0.71005,1.1304,3.875e-05,3.875e-05,3.875e-05
17,269.25,1.03916,0.73321,1.25142,0.90066,0.88909,0.92931,0.61985,1.13416,0.70833,1.13303,3.8e-05,3.8e-05,3.8e-05
18,284.104,1.04046,0.74982,1.23987,0.90196,0.8865,0.9262,0.6186,1.13423,0.70698,1.13259,3.725e-05,3.725e-05,3.725e-05
19,298.953,1.05529,0.76765,1.2532,0.90787,0.88398,0.92881,0.62065,1.1323,0.71592,1.13245,3.65e-05,3.65e-05,3.65e-05
20,313.817,1.04379,0.74954,1.22426,0.9069,0.88333,0.92782,0.61274,1.14737,0.72618,1.14113,3.575e-05,3.575e-05,3.575e-05
21,328.705,1.04846,0.75266,1.25218,0.89607,0.89055,0.92944,0.61711,1.12951,0.70797,1.12979,3.5e-05,3.5e-05,3.5e-05
22,343.612,1.06613,0.77651,1.26236,0.8985,0.89079,0.92935,0.61667,1.13619,0.71141,1.13569,3.425e-05,3.425e-05,3.425e-05
23,358.609,1.06593,0.76204,1.25789,0.8977,0.88898,0.92829,0.61385,1.14295,0.71586,1.13943,3.35e-05,3.35e-05,3.35e-05
24,373.508,1.07295,0.77722,1.27138,0.89948,0.88343,0.92688,0.61406,1.13523,0.72134,1.13648,3.275e-05,3.275e-05,3.275e-05
25,388.466,1.06387,0.75256,1.26296,0.90439,0.88393,0.9286,0.6171,1.14127,0.71783,1.13967,3.2e-05,3.2e-05,3.2e-05
26,403.339,1.0797,0.77265,1.25528,0.89991,0.88643,0.928,0.61282,1.14613,0.71816,1.14004,3.125e-05,3.125e-05,3.125e-05
