epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,959.115,1.52882,1.35551,1.63037,0.87661,0.77009,0.79364,0.39289,1.66017,1.15488,1.60884,0.00871,0.00871,0.00871
45,981.883,1.52061,1.31418,1.60899,0.81451,0.77044,0.7869,0.41258,1.46542,1.09569,1.50057,0.00868,0.00868,0.00868
46,1004.09,1.5348,1.35134,1.63623,0.78132,0.73521,0.76861,0.44504,1.38246,1.11114,1.46565,0.00865,0.00865,0.00865
47,1025.74,1.52003,1.3592,1.62339,0.80607,0.68378,0.7489,0.44107,1.39385,1.17674,1.46109,0.00862,0.00862,0.00862
48,1048.7,1.51922,1.34089,1.61151,0.83431,0.6962,0.76308,0.44147,1.39951,1.17053,1.45687,0.00859,0.00859,0.00859
49,1071.01,1.5046,1.33874,1.61513,0.69393,0.68496,0.72445,0.41916,1.44268,1.13375,1.44712,0.00856,0.00856,0.00856
50,1093.17,1.50408,1.31127,1.60606,0.81022,0.72297,0.76512,0.42858,1.40942,1.41565,1.486,0.00853,0.00853,0.00853
51,1114.96,1.48223,1.32532,1.61395,0.83217,0.71081,0.77862,0.45135,1.41921,1.08282,1.44006,0.0085,0.0085,0.0085
52,1137.15,1.49037,1.31629,1.60756,0.847,0.7614,0.78127,0.41062,1.56802,1.13567,1.55484,0.00847,0.00847,0.00847
53,1159.37,1.4579,1.28606,1.57824,0.82312,0.71241,0.76005,0.40873,1.42418,1.13543,1.45354,0.00844,0.00844,0.00844
54,1181.55,1.46488,1.26886,1.58066,0.81465,0.69729,0.7605,0.45353,1.37128,1.10206,1.4193,0.00841,0.00841,0.00841
55,1203.86,1.47256,1.2945,1.60264,0.83188,0.72321,0.77455,0.43455,1.49385,1.08029,1.50889,0.00838,0.00838,0.00838
56,1225.67,1.47019,1.26155,1.56186,0.83144,0.6727,0.768,0.36457,1.50836,1.17178,1.53698,0.00835,0.00835,0.00835
57,1248.35,1.45181,1.24721,1.55465,0.80918,0.7374,0.7646,0.42123,1.37772,1.16695,1.39668,0.00832,0.00832,0.00832
58,1270.96,1.4423,1.25208,1.57501,0.79656,0.76328,0.75994,0.48266,1.23557,1.04194,1.33004,0.00829,0.00829,0.00829
59,1293.35,1.45259,1.25312,1.57476,0.83914,0.68773,0.77949,0.46634,1.45282,1.03095,1.47247,0.00826,0.00826,0.00826
60,1315.83,1.44202,1.257,1.55811,0.81029,0.75364,0.77163,0.46962,1.30946,1.10572,1.37726,0.00823,0.00823,0.00823
61,1338.48,1.44216,1.24432,1.55602,0.82998,0.76374,0.80476,0.44687,1.47677,1.00546,1.46364,0.0082,0.0082,0.0082
62,1360.28,1.44046,1.2514,1.55932,0.77055,0.75527,0.76765,0.38641,1.72574,1.11732,1.65452,0.00817,0.00817,0.00817
63,1382.25,1.45235,1.25725,1.58893,0.83596,0.71393,0.7722,0.4607,1.40748,1.10987,1.47907,0.00814,0.00814,0.00814
64,1404.74,1.41691,1.2391,1.53351,0.8235,0.75693,0.78299,0.47023,1.32389,1.03747,1.44052,0.00811,0.00811,0.00811
65,1427.73,1.4002,1.2475,1.52746,0.80986,0.71429,0.78468,0.48826,1.33564,1.02865,1.39652,0.00808,0.00808,0.00808
66,1450.59,1.421,1.22,1.53643,0.85497,0.70101,0.77253,0.47653,1.28708,1.04508,1.33526,0.00805,0.00805,0.00805
67,1473.47,1.43285,1.2521,1.54212,0.85812,0.72592,0.80784,0.50621,1.3374,1.02501,1.37918,0.00802,0.00802,0.00802
68,1496.24,1.41309,1.2061,1.5379,0.83165,0.75888,0.7949,0.45756,1.26749,1.00264,1.31286,0.00799,0.00799,0.00799
69,1519.07,1.391,1.20349,1.52032,0.8508,0.71343,0.78919,0.47927,1.33133,1.1387,1.39734,0.00796,0.00796,0.00796
70,1542.01,1.4223,1.23079,1.53288,0.84137,0.75458,0.79841,0.47286,1.30796,0.96855,1.36483,0.00793,0.00793,0.00793
71,1565.1,1.41421,1.22654,1.54848,0.83472,0.74882,0.80863,0.45777,1.41216,1.13362,1.43629,0.0079,0.0079,0.0079
72,1587.94,1.40747,1.22767,1.53174,0.87901,0.77222,0.8224,0.47322,1.42928,0.96231,1.41657,0.00787,0.00787,0.00787
73,1610.98,1.40906,1.2182,1.52321,0.79542,0.7635,0.79846,0.51344,1.24225,1.02224,1.33953,0.00784,0.00784,0.00784
74,1634.17,1.39273,1.18337,1.50814,0.88685,0.75101,0.8284,0.45478,1.4318,1.00662,1.43219,0.00781,0.00781,0.00781
75,1657.2,1.39968,1.2098,1.51655,0.8115,0.79877,0.81577,0.48884,1.34722,1.00317,1.3603,0.00778,0.00778,0.00778
76,1680.32,1.36687,1.16361,1.49515,0.8485,0.74635,0.82133,0.50646,1.35184,0.97487,1.37963,0.00775,0.00775,0.00775
