epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
2,108.547,1.10569,0.79009,1.26539,0.90905,0.91577,0.93427,0.6232,1.16686,0.67917,1.04486,0.0019929,0.0019929,0.0019929
3,168.636,1.07475,0.76382,1.24229,0.93801,0.93715,0.95972,0.64761,1.12965,0.61005,1.02268,0.00197172,0.00197172,0.00197172
4,226.514,1.06912,0.76274,1.26024,0.92989,0.92134,0.9516,0.64684,1.15538,0.64452,1.03883,0.0019368,0.0019368,0.0019368
1,108.157,1.09458,0.7732,1.26358,0.91492,0.91412,0.93482,0.6387,1.15022,0.63715,1.03409,0.00216955,0.00199654,0.00199654
5,294.727,1.08231,0.76073,1.24748,0.91874,0.92663,0.95353,0.64336,1.12924,0.63114,1.02587,0.00188868,0.00188868,0.00188868
2,179.822,1.10569,0.79009,1.26539,0.90905,0.91577,0.93427,0.6232,1.16686,0.67917,1.04486,0.0019929,0.0019929,0.0019929
6,368.602,1.07389,0.76789,1.23637,0.92436,0.95294,0.96051,0.65396,1.13439,0.60165,1.02714,0.00182812,0.00182812,0.00182812
3,253.182,1.07475,0.76382,1.24229,0.93801,0.93715,0.95972,0.64761,1.12965,0.61005,1.02268,0.00197172,0.00197172,0.00197172
7,443.482,1.07456,0.76798,1.24837,0.92816,0.93014,0.95441,0.6499,1.12458,0.61009,1.01618,0.00175607,0.00175607,0.00175607
4,327.595,1.06912,0.76274,1.26024,0.92989,0.92134,0.9516,0.64684,1.15538,0.64452,1.03883,0.0019368,0.0019368,0.0019368
8,517.413,1.08147,0.7693,1.23721,0.92382,0.93481,0.95827,0.66017,1.10802,0.60434,1.01213,0.00167368,0.00167368,0.00167368
5,400.997,1.08231,0.76073,1.24748,0.91874,0.92663,0.95353,0.64336,1.12924,0.63114,1.02587,0.00188868,0.00188868,0.00188868
9,591.145,1.06113,0.75673,1.23632,0.91006,0.93053,0.95469,0.65249,1.12332,0.61373,1.02707,0.00158224,0.00158224,0.00158224
6,474.456,1.07389,0.76789,1.23637,0.92436,0.95294,0.96051,0.65396,1.13439,0.60165,1.02714,0.00182812,0.00182812,0.00182812
10,665.021,1.07645,0.75046,1.24007,0.90116,0.9311,0.94682,0.64843,1.12823,0.61536,1.02536,0.0014832,0.0014832,0.0014832
7,548.421,1.07456,0.76798,1.24837,0.92816,0.93014,0.95441,0.6499,1.12458,0.61009,1.01618,0.00175607,0.00175607,0.00175607
11,738.188,1.08574,0.77158,1.25782,0.92687,0.95355,0.96112,0.66021,1.10818,0.60628,1.00995,0.00137812,0.00137812,0.00137812
8,621.622,1.08147,0.7693,1.23721,0.92382,0.93481,0.95827,0.66017,1.10802,0.60434,1.01213,0.00167368,0.00167368,0.00167368
12,812.917,1.0744,0.762,1.24244,0.92822,0.91329,0.95421,0.65698,1.11202,0.60951,1.01617,0.00126864,0.00126864,0.00126864
9,697.044,1.06113,0.75673,1.23632,0.91006,0.93053,0.95469,0.65249,1.12332,0.61373,1.02707,0.00158224,0.00158224,0.00158224
13,888.926,1.06251,0.74308,1.23929,0.92345,0.9364,0.95912,0.65536,1.11297,0.60057,1.01779,0.00115651,0.00115651,0.00115651
10,773.177,1.07645,0.75046,1.24007,0.90116,0.9311,0.94682,0.64843,1.12823,0.61536,1.02536,0.0014832,0.0014832,0.0014832
14,963.669,1.07937,0.74863,1.25399,0.92249,0.93449,0.95345,0.65181,1.10643,0.61618,1.01168,0.00104349,0.00104349,0.00104349
