epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.7339,1.05036,0.64633,1.06903,0.91317,0.93319,0.95688,0.64831,1.11964,0.62846,1.0194,0.0003,0.0003,0.0003
2,96.6387,1.0656,0.65045,1.07684,0.91537,0.92938,0.95967,0.65749,1.12905,0.61201,1.02236,0.00029926,0.00029926,0.00029926
3,132.342,1.02556,0.61478,1.07344,0.90535,0.93468,0.94518,0.65603,1.13135,0.60155,1.02239,0.00029705,0.00029705,0.00029705
4,168.427,1.03664,0.60502,1.0632,0.91716,0.93074,0.95832,0.65704,1.12445,0.59187,1.01698,0.000293393,0.000293393,0.000293393
5,204.627,1.04894,0.61533,1.07017,0.89896,0.92995,0.94334,0.65639,1.11365,0.59362,1.01178,0.000288329,0.000288329,0.000288329
6,241.115,1.04236,0.61235,1.07018,0.91355,0.94279,0.95926,0.66134,1.12577,0.58799,1.01794,0.000281913,0.000281913,0.000281913
7,279.483,1.04949,0.60649,1.07877,0.92572,0.93462,0.96005,0.66082,1.10141,0.57499,1.00316,0.000274217,0.000274217,0.000274217
8,318.027,1.03094,0.59767,1.06751,0.90356,0.92697,0.95352,0.66082,1.11998,0.5745,1.01199,0.000265325,0.000265325,0.000265325
9,356.729,1.03946,0.6033,1.05622,0.92761,0.93844,0.9606,0.65712,1.10364,0.57371,1.0043,0.000255333,0.000255333,0.000255333
10,395.536,1.03514,0.59156,1.07177,0.90605,0.93186,0.95213,0.65975,1.10889,0.57451,1.00571,0.000244351,0.000244351,0.000244351
11,434.361,1.02733,0.59891,1.05945,0.91538,0.94419,0.95972,0.65992,1.10395,0.57297,1.00394,0.0002325,0.0002325,0.0002325
12,473.561,1.0233,0.59319,1.06919,0.92802,0.93315,0.95498,0.65556,1.10991,0.56966,1.00824,0.000219909,0.000219909,0.000219909
13,512.671,1.03285,0.58325,1.05422,0.91622,0.92516,0.95322,0.65813,1.10218,0.57045,1.00258,0.000206717,0.000206717,0.000206717
14,551.806,1.05054,0.59614,1.06968,0.91626,0.93143,0.95737,0.65571,1.12033,0.57671,1.01028,0.000193068,0.000193068,0.000193068
15,591.063,1.03618,0.59583,1.06095,0.91047,0.9392,0.95791,0.65722,1.11799,0.57121,1.00834,0.000179111,0.000179111,0.000179111
16,630.152,1.02578,0.58793,1.05925,0.92765,0.91266,0.95145,0.66001,1.113,0.57463,1.00216,0.000165,0.000165,0.000165
17,669.196,1.03871,0.58318,1.05946,0.9142,0.92305,0.945,0.66093,1.11062,0.57092,1.00341,0.000150889,0.000150889,0.000150889
18,708.242,1.02445,0.58509,1.06243,0.92123,0.92305,0.95126,0.65792,1.10927,0.56741,1.00318,0.000136932,0.000136932,0.000136932
19,747.425,1.02701,0.5872,1.05269,0.91161,0.92528,0.9514,0.66306,1.10194,0.56877,0.99997,0.000123283,0.000123283,0.000123283
20,786.718,1.03862,0.58278,1.05868,0.92017,0.92404,0.95184,0.6622,1.10015,0.56586,0.99738,0.000110091,0.000110091,0.000110091
21,826.146,1.04195,0.5513,0.99706,0.92115,0.9151,0.95946,0.65826,1.1166,0.57803,1.00861,9.75e-05,9.75e-05,9.75e-05
22,865.246,1.05163,0.55617,0.9967,0.9055,0.93844,0.95842,0.66034,1.10721,0.57361,1.0026,8.5649e-05,8.5649e-05,8.5649e-05
23,904.057,1.06058,0.55943,1.00291,0.92704,0.93113,0.95451,0.66202,1.1002,0.57088,0.99819,7.46674e-05,7.46674e-05,7.46674e-05
24,942.78,1.05828,0.55379,0.9946,0.91535,0.92086,0.94578,0.65722,1.11386,0.57646,1.00669,6.46754e-05,6.46754e-05,6.46754e-05
25,981.591,1.06029,0.55895,0.99826,0.91191,0.92528,0.94609,0.65618,1.11242,0.57741,1.00399,5.57827e-05,5.57827e-05,5.57827e-05
26,1020.5,1.06019,0.55454,1.00429,0.92162,0.91676,0.95209,0.65699,1.10979,0.57384,1.00389,4.80866e-05,4.80866e-05,4.80866e-05
27,1059.57,1.03201,0.54856,0.99193,0.9235,0.92516,0.95814,0.65945,1.10765,0.57188,1.00487,4.16714e-05,4.16714e-05,4.16714e-05
28,1098.75,1.0491,0.54939,0.98802,0.92649,0.93186,0.95868,0.66431,1.10291,0.56485,0.99947,3.66074e-05,3.66074e-05,3.66074e-05
29,1137.63,1.05105,0.55034,1.00342,0.92141,0.91381,0.94669,0.66161,1.1031,0.56883,1.00174,3.29501e-05,3.29501e-05,3.29501e-05
30,1176.55,1.07172,0.55865,1.0014,0.89427,0.93862,0.95186,0.66032,1.10676,0.56777,1.00137,3.07395e-05,3.07395e-05,3.07395e-05
