epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,730.146,1.42676,1.23436,1.29754,0.88654,0.76093,0.83143,0.52828,1.33832,0.99292,1.15743,0.00871,0.00871,0.00871
45,746.668,1.40932,1.18197,1.28074,0.8615,0.73649,0.81893,0.47785,1.37262,1.08512,1.18439,0.00868,0.00868,0.00868
46,763.196,1.42622,1.22786,1.30229,0.85946,0.69376,0.78314,0.45993,1.39962,1.37858,1.20938,0.00865,0.00865,0.00865
47,779.62,1.42669,1.27295,1.31125,0.90679,0.74765,0.85179,0.54477,1.2459,0.9335,1.1346,0.00862,0.00862,0.00862
48,796.204,1.41196,1.23078,1.28648,0.81239,0.7164,0.78142,0.49248,1.23071,1.19439,1.14274,0.00859,0.00859,0.00859
49,812.759,1.40126,1.22235,1.2976,0.87796,0.73414,0.82801,0.52954,1.30881,0.96863,1.15346,0.00856,0.00856,0.00856
50,829.235,1.39773,1.20624,1.27898,0.88971,0.75858,0.83779,0.47909,1.38056,1.00463,1.1753,0.00853,0.00853,0.00853
51,845.768,1.39956,1.22246,1.2957,0.89535,0.75446,0.83681,0.54383,1.25952,0.94079,1.13219,0.0085,0.0085,0.0085
52,862.415,1.40015,1.22424,1.29388,0.86218,0.70959,0.7875,0.43986,1.46717,1.14268,1.22335,0.00847,0.00847,0.00847
53,878.996,1.40092,1.21639,1.28291,0.87449,0.74547,0.82875,0.53377,1.14596,1.02793,1.12429,0.00844,0.00844,0.00844
54,895.567,1.37133,1.17321,1.26754,0.81048,0.75629,0.80348,0.50839,1.23181,1.0196,1.14095,0.00841,0.00841,0.00841
55,912.229,1.3652,1.18383,1.27459,0.81803,0.72083,0.79369,0.50528,1.3085,1.15298,1.17432,0.00838,0.00838,0.00838
56,928.834,1.35353,1.17215,1.26171,0.86988,0.73625,0.81603,0.51646,1.26299,1.16074,1.13144,0.00835,0.00835,0.00835
57,945.339,1.32784,1.15155,1.23663,0.87096,0.79166,0.83937,0.50967,1.25925,0.96532,1.13317,0.00832,0.00832,0.00832
58,961.847,1.36967,1.15651,1.28423,0.83312,0.76001,0.82397,0.5364,1.19875,1.02321,1.1165,0.00829,0.00829,0.00829
59,978.429,1.35966,1.16026,1.26251,0.79028,0.71956,0.81096,0.51045,1.25447,1.03609,1.13842,0.00826,0.00826,0.00826
60,995.176,1.36872,1.18291,1.27936,0.84775,0.76786,0.84502,0.52776,1.28819,0.96318,1.1528,0.00823,0.00823,0.00823
61,1011.7,1.37617,1.17467,1.28374,0.87236,0.72423,0.82957,0.41911,1.66865,0.99226,1.31624,0.0082,0.0082,0.0082
62,1028.43,1.36918,1.16166,1.27706,0.83095,0.72566,0.80659,0.49827,1.22012,1.1331,1.12775,0.00817,0.00817,0.00817
63,1044.97,1.35811,1.16576,1.2788,0.86921,0.79118,0.85734,0.51117,1.29475,0.94257,1.13923,0.00814,0.00814,0.00814
64,1061.52,1.3547,1.17035,1.2627,0.8672,0.80298,0.8625,0.55095,1.1826,0.93611,1.10879,0.00811,0.00811,0.00811
65,1078.09,1.34857,1.17103,1.25359,0.82782,0.70947,0.79199,0.47576,1.419,1.17494,1.19655,0.00808,0.00808,0.00808
66,1094.73,1.35087,1.15145,1.25701,0.82909,0.79545,0.85242,0.54914,1.22724,1.02615,1.13007,0.00805,0.00805,0.00805
67,1111.33,1.35722,1.159,1.26619,0.83252,0.73449,0.81245,0.53486,1.14389,1.00832,1.08887,0.00802,0.00802,0.00802
68,1127.87,1.34299,1.14584,1.26239,0.84233,0.77843,0.82932,0.55191,1.16528,1.12162,1.11371,0.00799,0.00799,0.00799
69,1144.68,1.3206,1.13451,1.23987,0.86649,0.78717,0.86023,0.55771,1.16647,0.96873,1.09569,0.00796,0.00796,0.00796
70,1161.22,1.33134,1.13701,1.2427,0.82168,0.7596,0.82195,0.53133,1.15961,1.17251,1.10365,0.00793,0.00793,0.00793
71,1177.81,1.32088,1.12618,1.25012,0.86812,0.74598,0.85381,0.52519,1.25349,0.97295,1.12196,0.0079,0.0079,0.0079
72,1194.41,1.32527,1.14063,1.24822,0.8772,0.798,0.87211,0.53654,1.26836,0.88151,1.11034,0.00787,0.00787,0.00787
73,1211.03,1.35174,1.16206,1.26741,0.87284,0.79535,0.8695,0.53744,1.30094,0.95126,1.13616,0.00784,0.00784,0.00784
74,1227.61,1.31907,1.11343,1.24288,0.83597,0.78992,0.85844,0.53885,1.27186,1.01208,1.12012,0.00781,0.00781,0.00781
75,1244.23,1.33038,1.11638,1.24978,0.86448,0.80622,0.87317,0.53143,1.2584,0.9706,1.12763,0.00778,0.00778,0.00778
76,1260.95,1.31425,1.11286,1.23909,0.85847,0.78996,0.8657,0.52411,1.39551,0.9356,1.14643,0.00775,0.00775,0.00775
77,1277.57,1.34133,1.16203,1.26073,0.83924,0.75343,0.84641,0.53774,1.22893,0.98175,1.11582,0.00772,0.00772,0.00772
78,1294.07,1.32081,1.13765,1.24447,0.8247,0.77414,0.84551,0.55114,1.12775,0.9517,1.085,0.00769,0.00769,0.00769
79,1310.59,1.33985,1.14499,1.25766,0.86487,0.77377,0.85535,0.52784,1.24599,0.9675,1.10728,0.00766,0.00766,0.00766
80,1327.15,1.31249,1.13716,1.23837,0.84783,0.80099,0.87536,0.55612,1.20945,0.92572,1.10683,0.00763,0.00763,0.00763
81,1343.72,1.30556,1.12296,1.23404,0.86993,0.79909,0.86816,0.58056,1.11169,0.8797,1.0805,0.0076,0.0076,0.0076
82,1360.3,1.30134,1.131,1.23311,0.86575,0.76938,0.83691,0.5628,1.06701,1.0088,1.05685,0.00757,0.00757,0.00757
83,1377.03,1.27734,1.10149,1.22853,0.90556,0.80335,0.88896,0.5931,1.16422,0.84058,1.07156,0.00754,0.00754,0.00754
84,1393.65,1.31547,1.11278,1.23259,0.85059,0.78032,0.86123,0.52116,1.2571,0.96045,1.10891,0.00751,0.00751,0.00751
85,1410.22,1.31057,1.10415,1.22475,0.8598,0.76359,0.85358,0.52643,1.30621,0.93845,1.12475,0.00748,0.00748,0.00748
